# Synthetic 64-atom MD run: 300 steps, 20 fs apart. Energies in kcal/mol.
step,time_ps,temperature_K,potential_E,kinetic_E,total_E
0,0.000,323.98,-2759.386,61.805,-2697.581
1,0.020,323.46,-2760.276,61.707,-2698.569
2,0.040,319.43,-2760.052,60.938,-2699.113
3,0.060,325.85,-2759.186,62.163,-2697.023
4,0.080,323.32,-2759.298,61.681,-2697.617
5,0.100,318.12,-2759.279,60.687,-2698.592
6,0.120,306.90,-2758.385,58.548,-2699.837
7,0.140,312.36,-2758.729,59.590,-2699.139
8,0.160,300.18,-2761.343,57.265,-2704.077
9,0.180,299.91,-2759.743,57.214,-2702.529
10,0.200,301.22,-2759.176,57.464,-2701.712
11,0.220,298.71,-2759.841,56.985,-2702.857
12,0.240,294.65,-2758.558,56.211,-2702.347
13,0.260,287.81,-2756.943,54.906,-2702.036
14,0.280,290.03,-2757.552,55.330,-2702.222
15,0.300,283.05,-2759.873,53.997,-2705.877
16,0.320,282.28,-2759.125,53.852,-2705.273
17,0.340,284.77,-2758.725,54.326,-2704.399
18,0.360,279.51,-2760.211,53.322,-2706.889
19,0.380,278.75,-2757.653,53.178,-2704.475
20,0.400,277.62,-2758.894,52.962,-2705.932
21,0.420,283.04,-2761.061,53.997,-2707.065
22,0.440,282.46,-2757.807,53.886,-2703.921
23,0.460,275.55,-2759.877,52.567,-2707.310
24,0.480,284.89,-2760.603,54.349,-2706.254
25,0.500,289.32,-2759.844,55.194,-2704.649
26,0.520,283.75,-2758.937,54.132,-2704.805
27,0.540,294.76,-2758.971,56.232,-2702.740
28,0.560,300.44,-2759.862,57.316,-2702.546
29,0.580,297.82,-2762.059,56.816,-2705.243
30,0.600,302.46,-2761.450,57.701,-2703.749
31,0.620,300.78,-2762.462,57.379,-2705.083
32,0.640,301.17,-2761.822,57.455,-2704.367
33,0.660,312.47,-2763.873,59.609,-2704.264
34,0.680,303.51,-2761.408,57.901,-2703.508
35,0.700,316.86,-2761.270,60.448,-2700.823
36,0.720,304.92,-2765.263,58.169,-2707.094
37,0.740,315.03,-2763.408,60.099,-2703.310
38,0.760,309.85,-2761.641,59.110,-2702.531
39,0.780,319.09,-2762.919,60.873,-2702.046
40,0.800,315.65,-2762.884,60.217,-2702.667
41,0.820,320.67,-2762.961,61.175,-2701.787
42,0.840,315.66,-2763.347,60.218,-2703.129
43,0.860,306.28,-2762.767,58.430,-2704.337
44,0.880,315.07,-2763.968,60.106,-2703.862
45,0.900,301.81,-2765.660,57.576,-2708.084
46,0.920,311.33,-2767.366,59.392,-2707.973
47,0.940,305.33,-2764.256,58.248,-2706.008
48,0.960,298.83,-2763.829,57.008,-2706.821
49,0.980,304.24,-2766.215,58.041,-2708.175
50,1.000,301.30,-2765.521,57.479,-2708.042
51,1.020,298.50,-2765.183,56.945,-2708.237
52,1.040,293.49,-2767.301,55.990,-2711.311
53,1.060,298.57,-2767.006,56.958,-2710.048
54,1.080,289.33,-2766.125,55.195,-2710.930
55,1.100,297.37,-2768.004,56.730,-2711.275
56,1.120,284.89,-2767.828,54.350,-2713.479
57,1.140,288.99,-2768.206,55.130,-2713.075
